feature,importance
tod_cos,0.049493595925756716
dist_ema_100,0.013290019119164794
bb_width,0.006659560428404654
range_60,0.006476490195083118
tod_sin,0.0061360675431026595
obv_change_10,0.0035243557856623107
range_15,0.003223186640271991
dist_ema_50,0.00319679204101316
dist_ema_200,0.003037747660863214
ret_30,0.0021907517384903707
macd,0.00216232678544237
ret_15,0.0020641930189669124
dist_ema_5,0.001848637125019
atr_14,0.0010090858332064319
ret_60,0.0008162022232373426
ema_5,0.0007958986853459452
rsi_21,0.0007661201631050293
bb_position,0.0006964113496776466
ret_1,0.0006720471042079105
ret_10,0.0006216266517773775
vol_z_50,0.0006003079369913215
bb_upper,0.0005008206013230598
atr_pct,0.0003972725580765335
dist_ema_21,0.0003174119757034151
dist_ema_13,0.00026056206960726563
